./sim.out

Started

L1 Error is - 0.375518
Explore seeds [129, 94, 211, 272, 212, 163, 40, 15, 385, 89, ]
Spread - 17
0->1 | 15->0 | 28->2 | 40->0 | 89->0 | 94->0 | 123->1 | 129->0 | 163->0 | 195->2 | 199->2 | 211->0 | 212->0 | 272->0 | 334->1 | 355->1 | 385->0 | 
Nodes -> 
NodeID IsInfluenced InfluencedBy Timestep
368 0 -1 -1 
431 0 -1 -1 
419 0 -1 -1 
224 0 -1 -1 
248 0 -1 -1 
404 0 -1 -1 
65 0 -1 -1 
193 0 -1 -1 
457 0 -1 -1 
437 0 -1 -1 
477 0 -1 -1 
66 0 -1 -1 
141 0 -1 -1 
68 0 -1 -1 
256 0 -1 -1 
104 0 -1 -1 
469 0 -1 -1 
352 0 -1 -1 
292 0 -1 -1 
231 0 -1 -1 
238 0 -1 -1 
310 0 -1 -1 
242 0 -1 -1 
72 0 -1 -1 
338 0 -1 -1 
405 0 -1 -1 
236 0 -1 -1 
186 0 -1 -1 
446 0 -1 -1 
420 0 -1 -1 
77 0 -1 -1 
174 0 -1 -1 
339 0 -1 -1 
246 0 -1 -1 
76 0 -1 -1 
379 0 -1 -1 
199 1 355 2 
129 1 -1 0 
391 0 -1 -1 
84 0 -1 -1 
212 1 -1 0 
442 0 -1 -1 
80 0 -1 -1 
283 0 -1 -1 
290 0 -1 -1 
82 0 -1 -1 
280 0 -1 -1 
275 0 -1 -1 
116 0 -1 -1 
83 0 -1 -1 
468 0 -1 -1 
223 0 -1 -1 
491 0 -1 -1 
109 0 -1 -1 
274 0 -1 -1 
311 0 -1 -1 
327 0 -1 -1 
86 0 -1 -1 
495 0 -1 -1 
87 0 -1 -1 
396 0 -1 -1 
162 0 -1 -1 
471 0 -1 -1 
89 1 -1 0 
90 0 -1 -1 
167 0 -1 -1 
92 0 -1 -1 
93 0 -1 -1 
95 0 -1 -1 
99 0 -1 -1 
194 0 -1 -1 
304 0 -1 -1 
96 0 -1 -1 
427 0 -1 -1 
208 0 -1 -1 
353 0 -1 -1 
398 0 -1 -1 
98 0 -1 -1 
268 0 -1 -1 
362 0 -1 -1 
421 0 -1 -1 
323 0 -1 -1 
134 0 -1 -1 
221 0 -1 -1 
101 0 -1 -1 
472 0 -1 -1 
308 0 -1 -1 
205 0 -1 -1 
271 0 -1 -1 
105 0 -1 -1 
106 0 -1 -1 
216 0 -1 -1 
453 0 -1 -1 
441 0 -1 -1 
156 0 -1 -1 
384 0 -1 -1 
364 0 -1 -1 
281 0 -1 -1 
349 0 -1 -1 
111 0 -1 -1 
298 0 -1 -1 
284 0 -1 -1 
386 0 -1 -1 
295 0 -1 -1 
432 0 -1 -1 
291 0 -1 -1 
176 0 -1 -1 
440 0 -1 -1 
408 0 -1 -1 
118 0 -1 -1 
181 0 -1 -1 
184 0 -1 -1 
260 0 -1 -1 
273 0 -1 -1 
499 0 -1 -1 
255 0 -1 -1 
482 0 -1 -1 
259 0 -1 -1 
326 0 -1 -1 
335 0 -1 -1 
313 0 -1 -1 
123 1 163 1 
312 0 -1 -1 
392 0 -1 -1 
228 0 -1 -1 
488 0 -1 -1 
130 0 -1 -1 
131 0 -1 -1 
254 0 -1 -1 
135 0 -1 -1 
387 0 -1 -1 
358 0 -1 -1 
367 0 -1 -1 
279 0 -1 -1 
375 0 -1 -1 
140 0 -1 -1 
330 0 -1 -1 
425 0 -1 -1 
142 0 -1 -1 
253 0 -1 -1 
344 0 -1 -1 
454 0 -1 -1 
465 0 -1 -1 
346 0 -1 -1 
459 0 -1 -1 
146 0 -1 -1 
337 0 -1 -1 
147 0 -1 -1 
359 0 -1 -1 
406 0 -1 -1 
151 0 -1 -1 
198 0 -1 -1 
452 0 -1 -1 
498 0 -1 -1 
390 0 -1 -1 
153 0 -1 -1 
154 0 -1 -1 
334 1 163 1 
479 0 -1 -1 
157 0 -1 -1 
220 0 -1 -1 
160 0 -1 -1 
261 0 -1 -1 
325 0 -1 -1 
166 0 -1 -1 
302 0 -1 -1 
183 0 -1 -1 
294 0 -1 -1 
217 0 -1 -1 
478 0 -1 -1 
475 0 -1 -1 
348 0 -1 -1 
175 0 -1 -1 
177 0 -1 -1 
249 0 -1 -1 
345 0 -1 -1 
182 0 -1 -1 
315 0 -1 -1 
388 0 -1 -1 
487 0 -1 -1 
267 0 -1 -1 
356 0 -1 -1 
354 0 -1 -1 
460 0 -1 -1 
215 0 -1 -1 
191 0 -1 -1 
192 0 -1 -1 
340 0 -1 -1 
378 0 -1 -1 
341 0 -1 -1 
363 0 -1 -1 
297 0 -1 -1 
466 0 -1 -1 
201 0 -1 -1 
203 0 -1 -1 
464 0 -1 -1 
204 0 -1 -1 
207 0 -1 -1 
480 0 -1 -1 
218 0 -1 -1 
447 0 -1 -1 
360 0 -1 -1 
496 0 -1 -1 
331 0 -1 -1 
319 0 -1 -1 
232 0 -1 -1 
370 0 -1 -1 
415 0 -1 -1 
287 0 -1 -1 
374 0 -1 -1 
492 0 -1 -1 
243 0 -1 -1 
400 0 -1 -1 
461 0 -1 -1 
270 0 -1 -1 
272 1 -1 0 
288 0 -1 -1 
407 0 -1 -1 
296 0 -1 -1 
410 0 -1 -1 
435 0 -1 -1 
328 0 -1 -1 
333 0 -1 -1 
393 0 -1 -1 
423 0 -1 -1 
430 0 -1 -1 
490 0 -1 -1 

Influenced Nodes -> 
NodeID IsInfluenced InfluencedBy Timestep
0 1 15 1 
15 1 -1 0 
28 1 123 2 
40 1 -1 0 
89 1 -1 0 
94 1 -1 0 
123 1 163 1 
129 1 -1 0 
163 1 -1 0 
195 1 123 2 
199 1 355 2 
211 1 -1 0 
212 1 -1 0 
272 1 -1 0 
334 1 163 1 
355 1 15 1 
385 1 -1 0 
L1 Error is - 0.375518
Explore seeds [481, 315, 473, 483, 261, 163, 235, 23, 81, 145, ]
Spread - 146
1->3 | 2->6 | 3->2 | 5->7 | 16->4 | 23->0 | 24->1 | 29->1 | 30->7 | 31->4 | 34->3 | 39->5 | 40->3 | 51->2 | 54->2 | 57->10 | 61->4 | 64->4 | 71->4 | 72->4 | 75->7 | 76->5 | 78->6 | 80->6 | 81->0 | 95->2 | 96->6 | 97->3 | 101->3 | 103->4 | 106->4 | 107->2 | 110->8 | 111->1 | 112->3 | 113->4 | 114->6 | 115->2 | 116->2 | 117->9 | 125->8 | 127->8 | 137->8 | 144->2 | 145->0 | 147->1 | 156->3 | 157->5 | 159->1 | 160->1 | 161->6 | 163->0 | 169->6 | 170->4 | 180->4 | 183->5 | 184->7 | 185->7 | 188->5 | 194->3 | 195->1 | 196->7 | 203->6 | 216->2 | 217->2 | 220->5 | 222->6 | 225->1 | 230->3 | 235->0 | 239->6 | 245->5 | 253->5 | 256->1 | 261->0 | 264->4 | 266->4 | 271->4 | 277->4 | 280->4 | 282->4 | 283->1 | 284->4 | 285->4 | 287->2 | 293->7 | 297->6 | 302->3 | 304->3 | 306->2 | 311->7 | 313->3 | 315->0 | 317->1 | 318->5 | 320->5 | 326->4 | 329->2 | 333->7 | 337->5 | 339->8 | 345->6 | 349->5 | 351->1 | 353->4 | 354->4 | 356->6 | 359->2 | 361->7 | 363->5 | 372->2 | 376->6 | 377->4 | 378->1 | 382->6 | 386->6 | 389->2 | 390->1 | 394->2 | 398->4 | 403->4 | 408->10 | 410->5 | 414->4 | 417->3 | 419->6 | 420->8 | 423->1 | 434->3 | 435->1 | 436->2 | 438->4 | 449->4 | 453->3 | 457->5 | 460->5 | 463->3 | 473->0 | 474->2 | 476->5 | 478->4 | 480->3 | 481->0 | 483->0 | 487->3 | 492->1 | 
Nodes -> 
NodeID IsInfluenced InfluencedBy Timestep
0 0 -1 -1 
144 1 423 2 
412 0 -1 -1 
1 1 115 3 
389 1 351 2 
371 0 -1 -1 
244 0 -1 -1 
165 0 -1 -1 
373 0 -1 -1 
2 1 476 6 
293 1 2 7 
41 0 -1 -1 
369 0 -1 -1 
306 1 492 2 
276 0 -1 -1 
94 0 -1 -1 
3 1 24 2 
112 1 3 3 
385 0 -1 -1 
150 0 -1 -1 
119 0 -1 -1 
4 0 -1 -1 
355 0 -1 -1 
395 0 -1 -1 
300 0 -1 -1 
21 0 -1 -1 
54 1 492 2 
251 0 -1 -1 
445 0 -1 -1 
5 1 78 7 
450 0 -1 -1 
357 0 -1 -1 
137 1 30 8 
234 0 -1 -1 
397 0 -1 -1 
110 1 5 8 
240 0 -1 -1 
361 1 345 7 
125 1 361 8 
6 0 -1 -1 
481 1 -1 0 
28 0 -1 -1 
158 0 -1 -1 
7 0 -1 -1 
32 0 -1 -1 
100 0 -1 -1 
